,tijdstempel,avondeten,flugel,kneipe,skistijl,Skitag,lezen,pre_ski_feestje,artiest,dal_piste_team,kat_hond,films,muziek,tosti,stad,geslacht,extra_namen,geboortedatum,leeftijd,materiaal_huur
0,2021-11-15 12:27:06.716,2.0,3.0,5.0,5.0,3.0,4.0,5.0,1,1,1,0,1,0,Amsterdam,1,1,1992-03-09 00:00:00.000,29.87945205479452,Nee
1,2021-11-15 12:29:46.000,4.0,3.0,3.0,1.0,2.0,4.0,4.0,0,0,1,0,1,0,Den Haaaag,0,1,1996-12-18 00:00:00.000,25.0986301369863,"Ja ski's, skischoenen en helm"
2,2021-11-15 12:55:27.841,4.0,5.0,4.0,4.0,4.0,3.0,5.0,1,1,1,1,1,0,Amsterdam,1,1,1993-04-24 00:00:00.000,28.753424657534246,"Ja, ski's en skischoenen"
3,2021-11-15 13:12:36.322,5.0,5.0,4.0,2.0,4.0,3.0,4.0,0,1,1,0,1,0,Utrecht,1,0,1985-09-22 00:00:00.000,36.345205479452055,"Ja, ski's en skischoenen"
4,2021-11-15 13:35:13.294,3.0,2.0,2.0,2.0,2.0,4.0,5.0,0,1,1,0,1,1,Beide prima! ,0,1,1996-06-12 00:00:00.000,25.616438356164384,"Ja, ski's en skischoenen"
5,2021-11-15 13:45:26.680,3.0,3.0,2.0,1.0,2.0,3.0,2.0,0,1,1,0,0,0,Amsterdam,0,0,1980-08-28 00:00:00.000,41.416438356164385,"Ja, ski's"
6,2021-11-15 14:57:08.310,1.0,4.0,3.0,2.0,5.0,4.0,5.0,1,1,1,0,0,1,Volgens mij mag je nu wel een feest organiseren zolang er maar niemand komt ,1,0,1996-11-30 00:00:00.000,25.147945205479452,"Ja, ski's"
7,2021-11-15 15:03:49.086,3.0,5.0,4.0,2.0,1.0,1.0,5.0,0,1,1,0,1,1,Amsterdam,0,0,1989-06-11 00:00:00.000,32.62465753424657,Nee
8,2021-11-15 17:43:37.803,4.0,5.0,3.0,4.0,2.0,3.0,5.0,0,1,1,0,1,0,Amsterdam,0,1,1994-02-10 00:00:00.000,27.953424657534246,"Ja, ski's en skischoenen"
9,2021-11-15 18:37:50.353,5.0,5.0,5.0,4.0,1.0,3.0,5.0,1,1,0,1,1,0,Utrecht,0,0,1990-06-26 00:00:00.000,31.583561643835615,Nee
10,2021-11-15 18:48:40.035,5.0,1.0,3.0,3.0,2.0,3.0,4.0,1,1,1,0,0,1,Amsterdam,0,1,1962-12-27 00:00:00.000,59.0986301369863,Nee
11,2021-11-15 20:10:23.355,5.0,5.0,5.0,1.0,1.0,3.0,5.0,1,0,1,0,1,0,Amsterdam,1,1,1991-04-17 00:00:00.000,30.775342465753425,"Ja, ski's en helm"
12,2021-11-16 07:44:07.371,2.0,4.0,1.0,5.0,4.0,4.0,5.0,1,1,1,0,1,1,Amsterdam,1,1,1992-03-20 00:00:00.000,29.84931506849315,Ja alleen schoenen
13,2021-11-16 09:25:10.635,1.0,5.0,1.0,2.0,2.0,2.0,5.0,1,0,1,1,1,1,Amsterdam,1,1,1989-06-10 00:00:00.000,32.62739726027397,"Ja, ski's en skischoenen"
14,2021-11-16 10:07:15.921,2.0,2.0,4.0,4.0,2.0,2.0,5.0,0,1,1,1,1,1,Amsterdam,0,1,1982-11-01 00:00:00.000,39.23835616438356,Nee
15,2021-11-16 10:13:11.642,1.0,5.0,5.0,3.0,1.0,3.0,5.0,0,1,1,0,1,0,Amsterdam,0,1,1990-08-13 00:00:00.000,31.45205479452055,Nee
16,2021-11-16 15:53:11.198,3.0,5.0,4.0,4.0,4.0,3.0,5.0,0,1,0,0,1,0,Amsterdam,1,0,1977-06-05 00:00:00.000,44.64931506849315,Nee
17,2021-11-17 18:29:14.805,1.0,5.0,3.0,3.0,1.0,1.0,5.0,0,0,1,0,1,1,Amsterdam,0,1,1990-03-02 00:00:00.000,31.9013698630137,Nee
18,2021-11-18 09:30:36.613,3.0,3.0,5.0,2.0,5.0,5.0,5.0,1,1,1,0,1,0,Utrecht,0,0,1994-08-07 00:00:00.000,27.465753424657535,"Ja, ski's"
19,2021-11-19 14:32:30.764,4.0,5.0,1.0,1.0,1.0,3.0,5.0,0,0,1,0,1,0,Utrecht,0,0,1996-04-03 00:00:00.000,25.80821917808219,"Ja, ski's en skischoenen"
20,2021-11-19 14:48:55.420,3.0,1.0,3.0,3.0,4.0,5.0,5.0,0,1,1,0,1,0,Amsterdam,0,1,1992-04-07 00:00:00.000,29.8,"Ja, ski's en skischoenen"
21,2021-11-19 17:13:34.304,2.0,5.0,3.0,1.0,1.0,5.0,3.0,0,0,1,0,1,1,Amsterdam,0,1,1990-09-02 00:00:00.000,31.397260273972602,"Ja, ski's"
22,2021-12-02 09:35:27.013,2.0,5.0,5.0,2.0,1.0,3.0,4.0,1,1,0,1,0,0,Utrecht,1,1,1996-08-21 00:00:00.000,25.424657534246574,"Ja, snowboard en schoenen"
23,,,,,,,,,0,0,1,1,1,1,Amsterdam,1,1,1988-07-09 00:00:00.000,33.54794520547945,Nee
24,2021-12-29 15:38:19.000,2.0,5.0,4.0,4.0,3.0,2.0,5.0,0,1,1,0,0,1,Beide goed,0,1,1989-07-07 00:00:00.000,32.553424657534244,Nee
